episode,step,time_sec,action_0,action_1,action_2,action_3,action_4,action_5,pd_target_0,pd_target_1,pd_target_2,pd_target_3,pd_target_4,pd_target_5,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5
1,0,0.0,0.01344266626983881,-0.008740229532122612,-0.0070994761772453785,0.007191463839262724,-0.0025326618924736977,0.005012895446270704,0.009502061642706394,-0.10617810487747192,0.34498167037963867,0.005083346739411354,-0.10179023444652557,0.35354340076446533,1.1402473449707031,-1.2974016666412354,-1.4051306247711182,0.6100015640258789,-0.3759489059448242,0.9921538829803467,0.014069616794586182,-0.10320338606834412,0.35176053643226624,-0.013751466758549213,-0.09919632971286774,0.3453955352306366
1,1,0.015,0.06921268254518509,-0.03244098648428917,-0.04383459687232971,0.04160350188612938,-0.0074887024238705635,0.012821657583117485,0.048923566937446594,-0.12293118238449097,0.31901514530181885,0.029407784342765808,-0.10529345273971558,0.3590630888938904,-22.873605728149414,1.0787906646728516,-15.649062156677246,31.36983299255371,-8.4049654006958,21.47511100769043,0.01912095583975315,-0.10228922218084335,0.33688169717788696,-0.016714230179786682,-0.10157802700996399,0.36213552951812744
1,2,0.03,0.1726353019475937,-0.05312377214431763,-0.13309139013290405,0.10725293308496475,-0.014622076414525509,0.013233745470643044,0.12202871590852737,-0.1375509798526764,0.25592324137687683,0.07581263780593872,-0.11033573746681213,0.3593543767929077,16.16568374633789,-13.368074417114258,47.725006103515625,3.1076860427856445,9.22938346862793,-87.49373626708984,0.017310280352830887,-0.11000394821166992,0.3567419946193695,-0.007783067878335714,-0.08688487112522125,0.3132099509239197
1,3,0.045,0.28915712237358093,-0.06844089180231094,-0.2695035934448242,0.17940516769886017,-0.009159653447568417,-0.01674479991197586,0.20439313352108002,-0.14837801456451416,0.1594991534948349,0.12681405246257782,-0.10647457838058472,0.3381637930870056,25.310630798339844,18.230724334716797,-150.0,0.18230152130126953,-53.04928207397461,150.0,0.020799310877919197,-0.09014438837766647,0.2669183909893036,0.0032659058924764395,-0.10542397946119308,0.3580852746963501
1,4,0.06,0.3786628246307373,-0.07106611132621765,-0.42530471086502075,0.2378654181957245,0.008849174715578556,-0.08647648245096207,0.2676610052585602,-0.1502336710691452,0.04936985671520233,0.16813716292381287,-0.09374488890171051,0.2888733744621277,17.456390380859375,-89.83938598632812,150.0,8.04952621459961,86.98224639892578,-150.0,0.030322153121232986,-0.10008225589990616,0.23615555465221405,0.016275983303785324,-0.10292547941207886,0.35523080825805664
1,5,0.075,0.4338172972202301,-0.04946700856089592,-0.5783066153526306,0.2750771939754486,0.02341216243803501,-0.17541252076625824,0.306647390127182,-0.1349661648273468,-0.05878080427646637,0.19444063305854797,-0.08345092087984085,0.22600820660591125,23.222822189331055,73.80918884277344,-150.0,-3.1600189208984375,-60.33561325073242,150.0,0.037430472671985626,-0.10652725398540497,0.22177931666374207,0.0306511539965868,-0.10634231567382812,0.3926381468772888
1,6,0.09,0.4721803069114685,-0.04635632038116455,-0.7150994539260864,0.29302629828453064,0.04297042265534401,-0.2615470588207245,0.33376461267471313,-0.13276734948158264,-0.1554740071296692,0.20712810754776,-0.06962600350379944,0.16512328386306763,44.889060974121094,25.555307388305664,-150.0,2.9936885833740234,58.92151641845703,-150.0,0.030108116567134857,-0.10382330417633057,0.24234849214553833,0.04575774073600769,-0.08437428623437881,0.3836135268211365
1,7,0.105,0.5028709173202515,-0.08338668197393417,-0.8271349668502808,0.2917546331882477,0.07838215678930283,-0.33145391941070557,0.355458527803421,-0.1589425653219223,-0.23466722667217255,0.20622920989990234,-0.04459492489695549,0.11570905148983002,46.80816650390625,-23.308982849121094,-150.0,1.3386726379394531,-86.65390014648438,150.0,0.026629695668816566,-0.10277170687913895,0.25951066613197327,0.051651306450366974,-0.08919926732778549,0.41709715127944946
1,8,0.12,0.5305561423301697,-0.14795264601707458,-0.9066169857978821,0.26948311924934387,0.13251902163028717,-0.37954267859458923,0.3750280439853668,-0.20458155870437622,-0.2908497452735901,0.19048640131950378,-0.006327837705612183,0.0817170962691307,45.067440032958984,-13.734145164489746,-150.0,16.502180099487305,92.1054458618164,-150.0,0.028176238760352135,-0.09803415089845657,0.2720215618610382,0.05292212963104248,-0.07262969017028809,0.40000924468040466
1,9,0.135,0.5548617839813232,-0.23063135147094727,-0.950947105884552,0.2442721128463745,0.19373340904712677,-0.40496373176574707,0.39220869541168213,-0.2630236744880676,-0.32218486070632935,0.1726657897233963,0.03694205358624458,0.06374802440404892,40.64711380004883,-49.24748992919922,-150.0,10.262296676635742,-74.5162124633789,150.0,0.03575790673494339,-0.09500599652528763,0.28539755940437317,0.0481853224337101,-0.0644015446305275,0.4181027114391327
