episode,step,time_sec,action_0,action_1,action_2,action_3,action_4,action_5,pd_target_0,pd_target_1,pd_target_2,pd_target_3,pd_target_4,pd_target_5,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5
1,0,0.0,0.025485597550868988,-0.01935809664428234,-0.02785971201956272,0.011365554295480251,0.0023198085837066174,0.004077244084328413,0.018014708533883095,-0.11368343234062195,0.33030712604522705,0.00803383719176054,-0.09836022555828094,0.3528820276260376,2.1617648601531982,-2.8735203742980957,-5.514002799987793,0.9640604257583618,0.34435293078422546,0.806969404220581,0.005678416229784489,-0.10087046027183533,0.34564653038978577,-0.005106985103338957,-0.10190467536449432,0.3482334017753601
1,1,0.015,0.11643445491790771,-0.0924190953373909,-0.12468574941158295,0.067360520362854,0.01138355489820242,0.019536493346095085,0.08230267465114594,-0.16532720625400543,0.2618648409843445,0.04761435091495514,-0.09195344150066376,0.3638095259666443,-1.2595443725585938,-13.794144630432129,-5.059606552124023,15.37468433380127,0.8797974586486816,9.985857963562012,0.008922897279262543,-0.10428671538829803,0.3359568119049072,-0.004768611863255501,-0.10311440378427505,0.35565197467803955
1,2,0.03,0.26459330320358276,-0.2050003856420517,-0.27855899930000305,0.16409796476364136,0.0321204848587513,0.05234046280384064,0.18702998757362366,-0.2449062168598175,0.15309825539588928,0.11599402129650116,-0.07729537039995193,0.3869972825050354,18.71697235107422,-19.831565856933594,-21.34668731689453,9.960371017456055,8.6732177734375,-27.25710105895996,0.015722541138529778,-0.10967271775007248,0.3094564974308014,-0.00039665529038757086,-0.09503044188022614,0.3418382704257965
1,3,0.045,0.37516334652900696,-0.29750001430511475,-0.4482668340206146,0.24112778902053833,0.06957568228244781,0.10509786009788513,0.2651873528957367,-0.3102903366088867,0.03313887119293213,0.17044320702552795,-0.05081985518336296,0.4242892861366272,16.2139949798584,-33.485042572021484,22.602317810058594,13.897808074951172,-15.763562202453613,112.15545654296875,0.029271960258483887,-0.12957139313220978,0.30105727910995483,0.005335909314453602,-0.10784461349248886,0.4151454269886017
1,4,0.06,0.368935763835907,-0.363671213388443,-0.5934109687805176,0.26038381457328796,0.10660900920629501,0.15734004974365234,0.2607853412628174,-0.35706400871276855,-0.06945746392011642,0.18405449390411377,-0.024642542004585266,0.46121710538864136,6.747707366943359,1.8484954833984375,-136.38253784179688,12.717656135559082,71.27400207519531,-150.0,0.044948987662792206,-0.12455578148365021,0.1828627586364746,0.01856199838221073,-0.08921351283788681,0.4138728082180023
1,5,0.075,0.3013553321361542,-0.39324814081192017,-0.6930181980133057,0.2574998736381531,0.1400138884782791,0.17963753640651703,0.21301554143428802,-0.37797069549560547,-0.1398656815290451,0.18201595544815063,-0.0010300297290086746,0.47697827219963074,0.6296443939208984,-104.11537170410156,150.0,-5.117088317871094,-70.1950912475586,150.0,0.03847809135913849,-0.14304794371128082,0.3164200782775879,0.028992902487516403,-0.0875529870390892,0.45291846990585327
1,6,0.09,0.2501598000526428,-0.3667841851711273,-0.7702441215515137,0.26837873458862305,0.18265359103679657,0.1719580888748169,0.1768275648355484,-0.35926443338394165,-0.19445346295833588,0.1897057592868805,0.029110204428434372,0.47154998779296875,23.152664184570312,33.47233963012695,-150.0,13.13199520111084,78.65189361572266,-150.0,0.037736497819423676,-0.14100056886672974,0.3775387704372406,0.03909560292959213,-0.06376530975103378,0.4475564956665039
1,7,0.105,0.2484714239835739,-0.31624162197113037,-0.8394734263420105,0.23107042908668518,0.22665248811244965,0.1690051257610321,0.17563411593437195,-0.32353800535202026,-0.24338874220848083,0.16333407163619995,0.060211192816495895,0.46946266293525696,14.717171669006348,-96.02395629882812,-55.88874053955078,-5.0374908447265625,-72.83531188964844,150.0,0.041268493980169296,-0.13443434238433838,0.34396129846572876,0.05220901966094971,-0.06213391572237015,0.484626442193985
1,8,0.12,0.285144180059433,-0.2630629539489746,-0.8744800090789795,0.09295118600130081,0.2795073091983795,0.19557198882102966,0.20155656337738037,-0.2859482169151306,-0.2681334614753723,0.06570332497358322,0.09757204353809357,0.48824167251586914,18.410551071166992,39.311981201171875,-150.0,-16.696352005004883,96.68054962158203,-150.0,0.038388289511203766,-0.1563124805688858,0.3854105770587921,0.06687922030687332,-0.039504822343587875,0.4737899601459503
1,9,0.135,0.27494633197784424,-0.23594489693641663,-0.8438653945922852,-0.05419161170721054,0.318755179643631,0.21288374066352844,0.19434812664985657,-0.2667796015739441,-0.24649325013160706,-0.038305796682834625,0.12531474232673645,0.5004786252975464,25.67670249938965,8.398242950439453,-150.0,-31.99657440185547,-65.44718933105469,150.0,0.03756603226065636,-0.1773443967103958,0.4194302558898926,0.06532119959592819,-0.02601335197687149,0.49513694643974304
